week	category	weekly_rank	show_title	season_title	weekly_hours_viewed	runtime	weekly_views	cumulative_weeks_in_top_10
2025-09-14	Films (English)	1	KPop Demon Hunters	N/A	37700000	1.6667	22600000	13
2025-09-14	Films (English)	2	The Wrong Paris	N/A	22900000	1.7833	12800000	1
2025-09-14	Films (English)	3	Unknown Number: The High School Catfish	N/A	18500000	1.5833	11700000	3
2025-09-14	Films (English)	4	aka Charlie Sheen	aka Charlie Sheen: Season 1	29500000	3.0333	9700000	1
2025-09-14	Films (English)	5	The Thursday Murder Club	N/A	14100000	2	7100000	3
2025-09-14	Films (English)	6	Shrek	N/A	4400000	1.5	2900000	14
2025-09-14	Films (English)	7	The Negotiator	N/A	6500000	2.3333	2800000	1
2025-09-14	Films (English)	8	Along Came a Spider	N/A	4400000	1.7333	2500000	1
2025-09-14	Films (English)	9	Shrek 2	N/A	3900000	1.55	2500000	7
2025-09-14	Films (English)	10	Paw Patrol: The Movie	N/A	3300000	1.4333	2300000	15
2025-09-14	Films (Non-English)	1	Saiyaara	N/A	9300000	2.5	3700000	1
2025-09-14	Films (Non-English)	2	Fall for Me	N/A	6500000	1.75	3700000	4
2025-09-14	Films (Non-English)	3	Inspector Zende	N/A	6200000	1.8667	3300000	2
2025-09-14	Films (Non-English)	4	Love Untangled	N/A	6400000	2.0167	3200000	3
2025-09-14	Films (Non-English)	5	Yadang: The Snitch	N/A	5100000	2.05	2500000	1
2025-09-14	Films (Non-English)	6	Kontrabida Academy	N/A	2800000	1.8167	1500000	1
2025-09-14	Films (Non-English)	7	Abandoned Man	N/A	2100000	1.5333	1400000	4
2025-09-14	Films (Non-English)	8	Brick	N/A	2200000	1.6833	1300000	9
2025-09-14	Films (Non-English)	9	Kingdom	N/A	2500000	2.5333	1000000	3
2025-09-14	Films (Non-English)	10	K.O.	N/A	1400000	1.45	1000000	11
2025-09-14	TV (English)	1	Canelo Álvarez vs. Terence Crawford	N/A	69600000	0	17700000	1
2025-09-14	TV (English)	2	Wednesday	Wednesday: Season 2	116400000	7.7833	15000000	6
2025-09-14	TV (English)	3	Beauty in Black	Beauty in Black: Season 2	60000000	6.9333	8700000	1
2025-09-14	TV (English)	4	My Life With the Walter Boys	My Life With the Walter Boys: Season 2	38700000	7.45	5200000	3
2025-09-14	TV (English)	5	Love Con Revenge	Love Con Revenge: Season 1	17200000	4.1833	4100000	2
2025-09-14	TV (English)	6	Wednesday	Wednesday: Season 1	24400000	6.8167	3600000	27
2025-09-14	TV (English)	7	Hostage	Hostage: Limited Series	10600000	3.5833	3000000	4
